Series:str,Age:int,Sex:str,Deferred_Period:str,Occupation:str,Value:float
IP06,51,M,DP4,OC2,0.013038
IP06,52,M,DP4,OC2,0.013982
IP06,53,M,DP4,OC2,0.014994
IP06,54,M,DP4,OC2,0.016079
IP06,55,M,DP4,OC2,0.017243
IP06,56,M,DP4,OC2,0.018491
IP06,57,M,DP4,OC2,0.01983
IP06,58,M,DP4,OC2,0.021265
IP06,59,M,DP4,OC2,0.022805000000000002
IP06,60,M,DP4,OC2,0.024455
IP06,61,M,DP4,OC2,0.026225
IP06,62,M,DP4,OC2,0.028124
IP06,63,M,DP4,OC2,0.030160000000000003
IP06,64,M,DP4,OC2,0.032343000000000004
IP06,65,M,DP4,OC2,0.034684
IP06,66,M,DP4,OC2,0.037194
IP06,67,M,DP4,OC2,0.039887
IP06,68,M,DP4,OC2,0.042774
IP06,69,M,DP4,OC2,0.04587
IP06,70,M,DP4,OC2,0.049191000000000006
IP06,17,F,DP4,OC2,0.001693
IP06,18,F,DP4,OC2,0.0018149999999999998
IP06,19,F,DP4,OC2,0.001947
IP06,20,F,DP4,OC2,0.002088
IP06,21,F,DP4,OC2,0.002239
IP06,22,F,DP4,OC2,0.0024010000000000004
IP06,23,F,DP4,OC2,0.002574
IP06,24,F,DP4,OC2,0.002761
IP06,25,F,DP4,OC2,0.002961
IP06,26,F,DP4,OC2,0.003175
IP06,27,F,DP4,OC2,0.0034049999999999996
IP06,28,F,DP4,OC2,0.0036509999999999997
IP06,29,F,DP4,OC2,0.003915999999999999
IP06,30,F,DP4,OC2,0.0041990000000000005
IP06,31,F,DP4,OC2,0.004503
IP06,32,F,DP4,OC2,0.004829
IP06,33,F,DP4,OC2,0.005178
IP06,34,F,DP4,OC2,0.005553
IP06,35,F,DP4,OC2,0.005954999999999999
IP06,36,F,DP4,OC2,0.006386
IP06,37,F,DP4,OC2,0.006848999999999999
IP06,38,F,DP4,OC2,0.007344
IP06,39,F,DP4,OC2,0.007876000000000001
IP06,40,F,DP4,OC2,0.008445999999999999
IP06,41,F,DP4,OC2,0.009056999999999999
IP06,42,F,DP4,OC2,0.009713
IP06,43,F,DP4,OC2,0.010416
IP06,44,F,DP4,OC2,0.011170000000000001
IP06,45,F,DP4,OC2,0.011979
IP06,46,F,DP4,OC2,0.012846000000000002
IP06,47,F,DP4,OC2,0.013775999999999998
IP06,48,F,DP4,OC2,0.014773
IP06,49,F,DP4,OC2,0.015842
IP06,50,F,DP4,OC2,0.016988999999999997
IP06,51,F,DP4,OC2,0.018218
IP06,52,F,DP4,OC2,0.019537
IP06,53,F,DP4,OC2,0.020950999999999997
IP06,54,F,DP4,OC2,0.022468000000000002
IP06,55,F,DP4,OC2,0.024094
IP06,56,F,DP4,OC2,0.025838
IP06,57,F,DP4,OC2,0.027708999999999998
IP06,58,F,DP4,OC2,0.029713999999999997
IP06,59,F,DP4,OC2,0.031865
IP06,60,F,DP4,OC2,0.034172
IP06,61,F,DP4,OC2,0.036646
IP06,62,F,DP4,OC2,0.039298
IP06,63,F,DP4,OC2,0.042143
IP06,64,F,DP4,OC2,0.045193000000000004
IP06,65,F,DP4,OC2,0.048465
IP06,66,F,DP4,OC2,0.051973
IP06,67,F,DP4,OC2,0.055735
IP06,68,F,DP4,OC2,0.059769
IP06,69,F,DP4,OC2,0.064096
IP06,70,F,DP4,OC2,0.068735
IP06,17,M,DP4,OC3,0.001648
IP06,18,M,DP4,OC3,0.0017670000000000001
IP06,19,M,DP4,OC3,0.001895
IP06,20,M,DP4,OC3,0.002032
IP06,21,M,DP4,OC3,0.002179
IP06,22,M,DP4,OC3,0.002337
IP06,23,M,DP4,OC3,0.002506
IP06,24,M,DP4,OC3,0.002688
IP06,25,M,DP4,OC3,0.002882
IP06,26,M,DP4,OC3,0.003091
IP06,27,M,DP4,OC3,0.003315
IP06,28,M,DP4,OC3,0.0035549999999999996
IP06,29,M,DP4,OC3,0.003812
IP06,30,M,DP4,OC3,0.0040880000000000005
IP06,31,M,DP4,OC3,0.004384000000000001
IP06,32,M,DP4,OC3,0.0047009999999999994
IP06,33,M,DP4,OC3,0.0050409999999999995
IP06,34,M,DP4,OC3,0.005406
IP06,35,M,DP4,OC3,0.005797999999999999
IP06,36,M,DP4,OC3,0.006217
IP06,37,M,DP4,OC3,0.006667
IP06,38,M,DP4,OC3,0.00715
IP06,39,M,DP4,OC3,0.007667
IP06,40,M,DP4,OC3,0.008222
IP06,41,M,DP4,OC3,0.008818000000000001
IP06,42,M,DP4,OC3,0.009456
IP06,43,M,DP4,OC3,0.01014
IP06,44,M,DP4,OC3,0.010874
IP06,45,M,DP4,OC3,0.011662
IP06,46,M,DP4,OC3,0.012506
IP06,47,M,DP4,OC3,0.013411000000000001
IP06,48,M,DP4,OC3,0.014381999999999999
IP06,49,M,DP4,OC3,0.015423
IP06,50,M,DP4,OC3,0.016538999999999998
IP06,51,M,DP4,OC3,0.017736000000000002
IP06,52,M,DP4,OC3,0.01902
IP06,53,M,DP4,OC3,0.020397
IP06,54,M,DP4,OC3,0.021873
IP06,55,M,DP4,OC3,0.023457
IP06,56,M,DP4,OC3,0.025155
IP06,57,M,DP4,OC3,0.026976
IP06,58,M,DP4,OC3,0.028928
IP06,59,M,DP4,OC3,0.031022000000000004
IP06,60,M,DP4,OC3,0.033268
IP06,61,M,DP4,OC3,0.035676
IP06,62,M,DP4,OC3,0.038258
IP06,63,M,DP4,OC3,0.041027999999999995
IP06,64,M,DP4,OC3,0.043997
IP06,65,M,DP4,OC3,0.047182
IP06,66,M,DP4,OC3,0.050597
IP06,67,M,DP4,OC3,0.05426
IP06,68,M,DP4,OC3,0.058188
IP06,69,M,DP4,OC3,0.0624
IP06,70,M,DP4,OC3,0.066916
IP06,17,F,DP4,OC3,0.002303
IP06,18,F,DP4,OC3,0.0024690000000000003
IP06,19,F,DP4,OC3,0.002648
IP06,20,F,DP4,OC3,0.0028399999999999996
IP06,21,F,DP4,OC3,0.003045
IP06,22,F,DP4,OC3,0.003266
IP06,23,F,DP4,OC3,0.0035020000000000003
IP06,24,F,DP4,OC3,0.0037560000000000002
IP06,25,F,DP4,OC3,0.004028
IP06,26,F,DP4,OC3,0.004319
IP06,27,F,DP4,OC3,0.004632
IP06,28,F,DP4,OC3,0.004967
IP06,29,F,DP4,OC3,0.005326
IP06,30,F,DP4,OC3,0.005712
IP06,31,F,DP4,OC3,0.006125
IP06,32,F,DP4,OC3,0.006569
IP06,33,F,DP4,OC3,0.007044
IP06,34,F,DP4,OC3,0.007554000000000001
IP06,35,F,DP4,OC3,0.008101
IP06,36,F,DP4,OC3,0.008688
IP06,37,F,DP4,OC3,0.009316
IP06,38,F,DP4,OC3,0.009991
IP06,39,F,DP4,OC3,0.010714
IP06,40,F,DP4,OC3,0.011489
IP06,41,F,DP4,OC3,0.012320999999999999
IP06,42,F,DP4,OC3,0.013212999999999999
IP06,43,F,DP4,OC3,0.014169
IP06,44,F,DP4,OC3,0.015194999999999998
IP06,45,F,DP4,OC3,0.016295
IP06,46,F,DP4,OC3,0.017475
IP06,47,F,DP4,OC3,0.018739
IP06,48,F,DP4,OC3,0.020096
IP06,49,F,DP4,OC3,0.021551
IP06,50,F,DP4,OC3,0.023111000000000003
IP06,51,F,DP4,OC3,0.024783000000000003
IP06,52,F,DP4,OC3,0.026576999999999996
IP06,53,F,DP4,OC3,0.028501
IP06,54,F,DP4,OC3,0.030563999999999997
IP06,55,F,DP4,OC3,0.032777
IP06,56,F,DP4,OC3,0.035149
IP06,57,F,DP4,OC3,0.037694
IP06,58,F,DP4,OC3,0.040422
IP06,59,F,DP4,OC3,0.043348000000000005
IP06,60,F,DP4,OC3,0.046486
IP06,61,F,DP4,OC3,0.049851
IP06,62,F,DP4,OC3,0.053459000000000007
IP06,63,F,DP4,OC3,0.057329
IP06,64,F,DP4,OC3,0.061479
IP06,65,F,DP4,OC3,0.065929
IP06,66,F,DP4,OC3,0.070701
IP06,67,F,DP4,OC3,0.07581900000000001
IP06,68,F,DP4,OC3,0.081307
IP06,69,F,DP4,OC3,0.08719299999999999
IP06,70,F,DP4,OC3,0.09350399999999999
IP06,17,M,DP4,OC4,0.002298
IP06,18,M,DP4,OC4,0.002464
IP06,19,M,DP4,OC4,0.0026420000000000003
IP06,20,M,DP4,OC4,0.002834
IP06,21,M,DP4,OC4,0.003039
IP06,22,M,DP4,OC4,0.003259
IP06,23,M,DP4,OC4,0.0034950000000000003
IP06,24,M,DP4,OC4,0.0037479999999999996
IP06,25,M,DP4,OC4,0.004019
IP06,26,M,DP4,OC4,0.0043100000000000005
IP06,27,M,DP4,OC4,0.004622
IP06,28,M,DP4,OC4,0.004956
IP06,29,M,DP4,OC4,0.005315
IP06,30,M,DP4,OC4,0.0057
IP06,31,M,DP4,OC4,0.006111999999999999
IP06,32,M,DP4,OC4,0.006555
IP06,33,M,DP4,OC4,0.0070290000000000005
